review/profileName,review/time,review/overall,review/taste,review/palate,review/appearance,beer/name,beer/style,beer/beerId
Foxbush,1135555200,14/20,6/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
walter,1135555200,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
oldrtybastrd,1135382400,15/20,8/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
ebarnes,1135209600,19/20,9/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
rsans,1134432000,18/20,8/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
faintheart,1134432000,19/20,10/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
ADfan,1301875200,13/20,7/10,3/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
thepegjett,1301702400,16/20,8/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
cleverlobo,1301529600,18/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
socaltay,1301529600,17/20,7/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
ThaJuggernaut,1301443200,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Neptunius777,1301270400,18/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
beerfest5,1301184000,16/20,7/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
gramity,1300665600,17/20,6/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
trafford,1134345600,18/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Siroy,1134172800,16/20,6/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Tobias10,1134000000,18/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
tennisjoel,1133913600,16/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
cybersen,1133913600,20/20,10/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
madcow75,1133827200,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
SDalkoholic,1133654400,16/20,7/10,3/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
StewardofGondor,1133481600,16/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
FoolishMortal,1132963200,12/20,7/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
jujubeast6000,1132876800,15/20,5/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
tronraner,1132704000,18/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Quinten,1132704000,18/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Yard,1132531200,20/20,9/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
ffcpa2,1132444800,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
tinydancer,1132358400,18/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Wolfenstein,1132272000,19/20,9/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Blackduck18,1132099200,16/20,7/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
FistFullOfCats,1132099200,18/20,9/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
imzugzug,1132099200,18/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Hawksfan17,1132012800,16/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Immy,1132012800,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
edaquino,1132012800,15/20,7/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
pfr,1132012800,15/20,8/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
artfink,1131926400,17/20,8/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
TrevorFloyd,1131840000,16/20,7/10,3/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
ELPADRINO,1131753600,14/20,7/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
bask,1131580800,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
antzman,1131494400,16/20,7/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
destroye7,1131235200,20/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
shakespiers,1131235200,11/20,6/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
HazelRah,1131235200,18/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
altkencru,1130889600,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Likerighteous,1130889600,16/20,7/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
ogivlado,1130889600,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
newtrip,1130803200,17/20,7/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
xproudfoot,1130803200,17/20,8/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
awebster,1130716800,8/20,4/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
hotstuff,1130716800,16/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Dough77,1130716800,15/20,8/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Ughsmash,1130716800,17/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
GarrettB,1130544000,18/20,7/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
heppo,1130198400,18/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
ghawener,1130112000,16/20,8/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
pbjclimber,1130112000,16/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
shanereid,1130112000,16/20,7/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Quiver,1130025600,18/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Nekronos,1129852800,14/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
sammy3D,1129593600,16/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
FrankJohansen,1129593600,14/20,7/10,3/5,2/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
mkgrenwel,1129507200,11/20,5/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
RazingDreamz,1129420800,15/20,9/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
malty,1129420800,15/20,8/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
DCJack,1129420800,16/20,8/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
bmanning,1128988800,15/20,7/10,2/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
HungChad,1128988800,16/20,7/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
ChillCoat,1128902400,15/20,7/10,2/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
CampbellWilson,1128902400,15/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
hellomynameis,1128729600,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
AndrewM,1128729600,15/20,7/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Marko,1128643200,17/20,8/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
UnsofistaCat,1128556800,17/20,7/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
mmanthe,1128297600,19/20,9/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
yalnikim,1127952000,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
lagermonkey,1127952000,16/20,7/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
restless7,1127865600,15/20,9/10,4/5,2/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
pinkzambia,1127865600,17/20,8/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Veer,1127865600,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
harrisoni,1127779200,15/20,8/10,3/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
rauchbier,1127692800,15/20,7/10,3/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
MammothMan,1127088000,13/20,5/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
breichow,1127001600,17/20,8/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Hazmatt,1126742400,19/20,9/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
lusitania,1126742400,17/20,7/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
ryan,1126224000,14/20,7/10,3/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
SB,1126137600,16/20,7/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
rocfort,1126051200,18/20,7/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
DrnkMcDermott,1125964800,17/20,8/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
markkao,1125964800,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
RasmusOtt,1300579200,14/20,7/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
77ships,1300060800,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
tfredvik,1300060800,14/20,7/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Blinebuddy,1299715200,18/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
EdKing,1299369600,17/20,8/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Scopey,1299369600,17/20,7/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Tito77,1299369600,10/20,5/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
pushkinwow,1299283200,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
MesandSim,1125964800,17/20,7/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
BrewEd,1125878400,17/20,8/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
etaggie09,1125619200,14/20,6/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Fish,1125532800,18/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Belial,1125446400,18/20,8/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Fantomas23,1125273600,16/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
3daddict,1125273600,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
tomhenderson,1125273600,15/20,8/10,3/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
bikesandbeers,1125187200,18/20,8/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Keeper,1125014400,16/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Dogfish120,1124928000,17/20,7/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
hughie,1124928000,18/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
gatorbeer,1124755200,19/20,9/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
jollyraider,1124755200,17/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Sanuk,1124409600,17/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
AlePete,1124064000,18/20,8/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
onelststnd,1124064000,20/20,10/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
NoiZe,1124064000,18/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
bkurtz,1123977600,18/20,9/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
kevin62,1123977600,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
whkingery,1123632000,18/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
henrik,1123545600,11/20,6/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
trokini,1123459200,14/20,8/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
andybeer,1123372800,16/20,8/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Miguel,1123372800,17/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Lubiere,1123027200,14/20,7/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Dimitri99,1122940800,20/20,10/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
LilKem,1122854400,16/20,7/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
jrob21,1122768000,14/20,6/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
bridge,1122768000,14/20,7/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Heatwaves,1122422400,10/20,5/10,3/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
beastdog75,1122249600,15/20,8/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Styles,1122249600,15/20,7/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
00cobraR,1121817600,17/20,7/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
HogTownHarry,1121731200,17/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
zawacki,1121644800,18/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
dwyerpg,1121644800,17/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
adrian910ss,1121558400,16/20,9/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Trev,1121558400,18/20,7/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
JK,1121385600,18/20,8/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
fordest,1121385600,17/20,8/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
1FastSTi,1121040000,16/20,8/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
KimmoS,1121040000,11/20,5/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
NYHarvey,1120608000,18/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
weepingsuds,1120521600,15/20,7/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
MIBRomeo,1120435200,15/20,7/10,3/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
sethbc,1120348800,17/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
fluids,1120262400,18/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
beerbabybeer,1119916800,19/20,8/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
marcus,1119830400,18/20,9/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Nightfall,1119830400,18/20,9/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
GKlein709,1119571200,19/20,9/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
hopdog,1119484800,16/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
monster,1119312000,19/20,10/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
stegosaurus,1119312000,15/20,8/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Firemoose15,1119139200,18/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
ABUSEDGOAT,1119052800,15/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
TomGibson,1118966400,18/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
JFURYCAT,1118707200,18/20,8/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Storm,1118620800,19/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
beeryum,1118534400,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
kepano,1118361600,17/20,7/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
OutHouseDilemma,1118102400,16/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Belgo,1118016000,9/20,4/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
ColoradoBobs,1117929600,17/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
oh6gdx,1117843200,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
notwoohoo,1117670400,18/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Nejhleader,1117497600,16/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
DrunkenWeasel,1117497600,15/20,6/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
jefcon,1117497600,18/20,7/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Magjayran,1117411200,15/20,6/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Tejas,1117238400,18/20,8/10,5/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
roder60,1117152000,18/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
timdom,1117152000,16/20,7/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Doppelganger,1116979200,17/20,8/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
txspartan,1299196800,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Kriegbaum,1299110400,16/20,8/10,3/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
undercurrent25,1299110400,15/20,6/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
dukeredhair,1298764800,11/20,7/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
raszputini,1298678400,17/20,8/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
kerolasa,1298678400,14/20,7/10,3/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
RC8,1298592000,18/20,8/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
chooch74,1298505600,17/20,8/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
GiBrew,1116374400,14/20,7/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
ConfusedDave,1116201600,19/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Bailz316,1115942400,16/20,8/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Pernille,1114905600,18/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Lou18,1114646400,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
mrnutsnbolts,1114387200,17/20,8/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
MiP,1114214400,18/20,8/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
hefevice,1114214400,17/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
hammenlind,1114041600,16/20,7/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
profane,1113782400,12/20,6/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
ddenomme,1113696000,18/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
osmg95,1113696000,18/20,7/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
brkc,1113609600,17/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
DonMagi,1113609600,10/20,5/10,3/5,2/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
kyuss,1113264000,9/20,1/10,2/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
iambeer,1113004800,19/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Rib Eye,1112745600,8/20,8/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Texans0743,1112659200,20/20,10/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
bipolar1,1112486400,17/20,9/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
pjk33,1112400000,15/20,8/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Mklein818,1112313600,14/20,7/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
ericmc83,1112227200,17/20,8/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
SayNoToCoors,1112227200,17/20,8/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
skisangelo,1112227200,17/20,7/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
swirl,1112054400,14/20,6/10,3/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
JDUB,1111968000,18/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
hawkshadow,1111968000,17/20,8/10,5/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
HopsformyHips,1111881600,17/20,8/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
goldtwins,1111795200,17/20,8/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
BoomerSooner,1111708800,18/20,8/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
can8ianben,1111449600,18/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
jehoo,1111449600,18/20,9/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
DucklyIII,1111363200,19/20,10/10,5/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
gearbike,1111276800,19/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
RedEft,1111276800,16/20,7/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Louipa,1111104000,19/20,9/10,4/5,5/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Davolina,1111017600,15/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Tmoney99,1110931200,16/20,8/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
frankenkitty,1110758400,15/20,7/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
gsteph,1110672000,17/20,7/10,4/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
BT,1110499200,17/20,8/10,4/5,3/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
Malakin,1110153600,16/20,8/10,3/5,4/5,Chimay Bleue (Blue) / Grande Rserve,Belgian Strong Ale,53
