,text,description,parent_asin,review_title,verified_purchase,rating,product_title,id,manual_labels,gpt4o,llama3-8b,llama3-70b
5809,text: It is a great product.  I almost wish it was a little bigger.,"description: ['item details:', ""This docking station is compatible with all cell phones including iPhone X, iPhone 8, iPhone 8 plus, all kind of iPhones and all Android phones. Moreover it's compatible with iPad and all kinds of tablet."", ""The item's color shown is WALNUT. There are 8 different colors available for this item: Cherry, Mahogany, Neutral (Beech), Ebony, Teak, Rosewood, Walnut, Slate Grey."", 'This docking station is a great solution to keep all your daily items organized and easy to find. It was designed to keep your smartphone, your tablet, keys, watch, glasses, wallet. Everything is organized in a series of spaces specifically designed.', '- PERSONALIZATIONS-', 'To require your personalizations (color, font style, name) click on SELECT OPTION', '- Choose the Docking Station Color', '- Choose between the two fonts (see the 4th picture as reference).', '- Write the NAME you want to engrave on the Docking Station', 'Please note that if you DO NOT choose the font style I WILL use the Picture N1 of this offering and NOTE that if you DO NOT CHOOSE the name I WILL NOT engrave the Docking Station.', 'The engraved text has a good quality and visibility with each colors.', '- PRODUCT DETAILS -', 'This docking station is composed by 2 plywood bars each of 19 cm x 19 cm (7,5"" x 7,5"")', 'Please note that the accessories shown are not included.', '- SHIPPING -', 'Two shipping methods available:', '- STANDARD SHIPPING:', 'Registered Mail Letter', 'Carrier: Post Office', 'Delivery Time: 12-16 business days approximately', 'Signature required for delivery', '- EXPEDITED:', 'Express pack UPS Saver', 'Carrier: UPS', 'Delivery time: 3-5 business days approximately', 'Signature required for delivery', '- CONTACTS -', ""For further information don't hesitate to contact us and we'll be glad to answer you as soon as possible."", 'See you soon!', 'GretaOto Design']",parent_asin: B071NNLLJ8,review_title: It held all it was supposed to hold and stylish to boot.,verified_purchase: True,rating: 5.0,"product_title: Gift for Him, Personalized Gift, Docking Station, Charging Station, Phone Dock, Cell Phone Stand, Desk Organizer, Engraved Docking Station",id: 22724,POSITIVE,POSITIVE,POSITIVE,POSITIVE
149,text: The earrings are very light weight<br /> I forget I'm wearing them. The color is gorgeous<br /> I wear them all the time and i get compliments constantly,description: ['slim minimalist pink dangle earrings for everyday wear >>>>each bar length 46 x 3 mm >>>> rose gold plated brass metal used >>>>>>>>It comes in a gift box ready for gifting.'],parent_asin: B01M1CS0RS,review_title: Beautiful,verified_purchase: True,rating: 5.0,product_title: Minimal Simple Long Rose Gold Plated Bar Dangle Earrings,id: 15495,POSITIVE,POSITIVE,POSITIVE,POSITIVE
5396,text: Amazing!! Bought this for my sis as a bday gift. Can't wait to capture the expression and smile on her face when she opens it :) Thank you! I'll definitely be ordering more for everyone in the family. (Frame not included),"description: ['ORIGINAL WALL DECOR', 'At VintBo, we specialize in creating unique and memorable pieces of art that are sure to add a fun vintage style to your home decor.', 'ORIGINAL DICTIONARY PAGE', 'The artwork is printed an authentic antique dictionary page from the early to mid-1900’s. The pages that are used for each print are random pages from a vintage dictionary. Each page has a great antique look and feel. You will receive the exact image shown however the dictionary pages that are used will vary. This makes each print one of a kind, as no two pages will be exactly the same.', 'READY TO BE FRAMED', 'The prints DO NOT come framed, but will fit any standard 8x10 frame or any larger frame with an 8x10 matte.', 'GREAT AS A GIFT', 'Our prints make the perfect gift for wall decor for an office, home, bedroom, kitchen, college dorm, dining room, living room, family room, bathroom or even the gym. And they are a great wall decoration for any age: adults, students, kids.', 'HANDMADE IN THE USA', 'I personally create each design and carefully package each print with a protective plastic sleeve inside a rigid mailing envelope to protect the artwork during shipping. Each print measures at 8x10 inches', 'STURDY PACKAGING', 'Each print comes in an EXTRA sturdy envelope for support and protection from any damage during the shipping process.', 'SO MANY MORE DESIGNS', 'Check out the VINTAGE BOOK ART CO store at the top left of this page. I offer a very large variety of prints within my shop here on Amazon. My current print selections include; Vintage Dictionary Art Prints, Gold Foil Prints, Nursery Room Prints, Kids Bedroom Prints, Bathroom Prints, Kitchen Prints, Larger Scale prints and posters, and much more. Enjoy!']",parent_asin: B015X3F4AE,review_title: Great quality!,verified_purchase: True,rating: 5.0,"product_title: Steampunk Cat Vintage Dictionary Art Print, Antique Wall Art Home Decor, Modern Boho Poster, Farmhouse Decoration Living Room Bedroom Office 8x10 Inches, Ready To Frame",id: 1266,POSITIVE,POSITIVE,POSITIVE,POSITIVE
4606,text: Excelente servicio y calidad!!!! Muchas felicitaciones,"description: ['**THE GOLD SEQUIN HANGER IS NO LONGER AVAILABLE FOR PURCHASE*** The quality of our prints are beyond amazing! This top is printed in a sparkly (non-shedding) glitter that will withstand many wears and washes. We use only the best quality for our customers. Bodysuit short sleeve or long sleeve: Interlock Knit, 5.4 Oz 65% Polyester, 35% Cotton. Short Sleeve Tee Shirt with Scallop Trim Interlock Knit 5.4 Oz 65% Polyester, 35%Cotton. Washing Instructions: We suggest washing all our items in cold water and laying them flat to dry or drying on a low heat setting. We love to help bring your vision to reality. We do accept special orders and custom requests. We would be happy to help you. Please reach out to us via Amazon messages and we will reply to you within 24 hours. We have a super speedy handmade production time of 1-3 business days. If you are in a rush feel free to reach out to us to see if we can make your item in time for your event. We love to accommodate our customers. We love to celebrate all occasions with our customers. All items are handmade by Moms for Moms, so we definitely take care in making your items because we know how special your children’s occasions are. Please check out our amazon shop for more customized items for both boys and girls of all ages.']",parent_asin: B07CP1SC1Q,review_title: Excelente!!!,verified_purchase: True,rating: 5.0,product_title: Personalized Coming Home Outfit Baby Girl Clothes Take Home Outfit Personalized Name Shirt Baby Girl Shirt Personalized Baby Shower Gift,id: 35593,POSITIVE,POSITIVE,POSITIVE,POSITIVE
5205,"text: Beautiful bracelet.. the only issue I have is the clasp is difficult to do by your self, other than that it rocks!!!!","description: [""Eagles are a symbol of strength and heritage, so the bracelet captures the meaning and importance of birds in every culture. It is an excellent choice for Harley riders with its durable constructions and magnetic clasp. The Alaskan hematite completes the strength properties of this bracelet by absorbing negative energy and is said to have a calming effect. This bracelet is a great gift choice for almost any occasion. This bracelet combines the eagle's power with hematite to absorb negative energy. Choose from brown, black, or a combo (one of each).""]",parent_asin: B01I2E4ZDS,review_title: Beautiful bracelet.,verified_purchase: True,rating: 4.0,product_title: Eagle Wing Feather Wire Wrapped Vintage Genuine Leather 3 Strand Unisex Bracelet Magnetic Clasp Hematite Riders Wristband by Ezina Designs (Black and Silver),id: 12794,POSITIVE,POSITIVE,POSITIVE,POSITIVE
11437,text: Keeps tea hot in the pot. Easy to use.,"description: [""This attractive 6 Cup Reversible Tea Cozy has an extra thick insulated lining to keep your tea warm. It's a medium sized cozy, with a fabric padded bottom and elastic top casting for easy on and off, with a slot on either side for handle and spout. This makes the pot accessible without taking the cozy off. This cozy is a high quality hand made product, Made from washable fabric; machine wash on delicate cycle in cold water; dry in machine, and remove promptly to avoid pressing. Thank-you!!!""]",parent_asin: B01JD3H124,review_title: Adorable!,verified_purchase: True,rating: 5.0,product_title: Pretty Field of Flowers 6 Cup Reversible Tea Pot Cozy,id: 13651,POSITIVE,POSITIVE,POSITIVE,POSITIVE
11010,text: This was a gift to my mom. She loved it! Great quality. Fast shipping. I was worried the names would be too small but they are perfect! Super easy to read.,"description: ['Personalized Birthstone Key Chain', 'ANY Name down the right side (Mom, Grandma, Etc)', 'ANY Name down the right side (Mom, Grandma, Etc)', 'Up to 12 names down the left side', 'Up to 12 names down the left side', 'One birthstone cyrstal per name', 'One birthstone cyrstal per name', 'Permanent engraving', 'Permanent engraving', 'Sturdy stainless steel', 'Sturdy stainless steel', 'Sm size 1-4 names', 'Sm size 1-4 names', 'Med size 5-8 names', 'Med size 5-8 names', 'Lrg size 9-12 names', 'Lrg size 9-12 names', 'STAINLESS STEEL WILL NEVER RUST OR TARNISH   A few notes! Every metal piece of this item is made with stainless steel. You never have to worry about it rusting or changing color. Each piece comes with a shiny mirror finish. Jewelry polishing cloths will remove minor scratches that can appear over time from normal wear.']",parent_asin: B01NB1EYLH,review_title: Perfect personalized gift,verified_purchase: True,rating: 5.0,product_title: Personalized Birthstone Key Chain Gift For Mom Grandma Gift From Grandkids,id: 19526,POSITIVE,POSITIVE,POSITIVE,POSITIVE
4682,text: Beautiful gift ❤️,"description: ['---Personalized Flower Necklace Details--- Material: high quality stainless steel Birthday flower name height: 45mm Chain size: 14"" 16"" 18"" Color: silver, gold, rose gold Does not fade/do not change color Exquisite, can be worn every day Exquisite gifts for Mothers day,Christmas, birthdays, bridal showers, weddings (also can be used as wedding gifts)']",parent_asin: B0BB7J7PGC,review_title: I love it even though it’s not perfect 🥺,verified_purchase: True,rating: 5.0,product_title: Custom Birth Flower Name Necklace Personalized 18K Gold Plated Birth Month Flower Necklace Dainty Floral Pendant Jewelry Mothers Birthday Gift for Women (Birth Flower Name Necklace),id: 75714,POSITIVE,POSITIVE,POSITIVE,POSITIVE
3404,text: It’ll be a nice addition to our tree,"description: ['You & Me Pair Puzzle Piece Laser Cut Wood Ornaments Comes with 2 [Christmas, Holiday, Love, Anniversary, Personalized Gifts, Custom Message, Stocking Stuffers]']",parent_asin: B01LWSM0VP,review_title: Cute couples ornament for the price!,verified_purchase: True,rating: 5.0,"product_title: You And Me Puzzle Piece Wood Ornament Pair for Wedding Anniversary, Holiday [Personalized Name Love Ornament, Christmas Gift for Mom, Dad, Husband, Couple, Made in the USA]",id: 14838,POSITIVE,POSITIVE,POSITIVE,POSITIVE
5843,text: Cheap not worth a penny,"description: ['ORIGINAL WALL DECOR', 'At VintBo, we specialize in creating unique and memorable pieces of art that are sure to add a fun vintage style to your home decor.', 'ORIGINAL DICTIONARY PAGE', 'The artwork is printed an authentic antique dictionary page from the early to mid-1900’s. The pages that are used for each print are random pages from a vintage dictionary. Each page has a great antique look and feel. You will receive the exact image shown however the dictionary pages that are used will vary. This makes each print one of a kind, as no two pages will be exactly the same.', 'READY TO BE FRAMED', 'The prints DO NOT come framed, but will fit any standard 8x10 frame or any larger frame with an 8x10 matte.', 'GREAT AS A GIFT', 'Our prints make the perfect gift for wall decor for an office, home, bedroom, kitchen, college dorm, dining room, living room, family room, bathroom or even the gym. And they are a great wall decoration for any age: adults, students, kids.', 'HANDMADE IN THE USA', 'I personally create each design and carefully package each print with a protective plastic sleeve inside a rigid mailing envelope to protect the artwork during shipping. Each print measures at 8x10 inches', 'STURDY PACKAGING', 'Each print comes in an EXTRA sturdy envelope for support and protection from any damage during the shipping process.', 'SO MANY MORE DESIGNS', 'Check out the VINTAGE BOOK ART CO store at the top left of this page. I offer a very large variety of prints within my shop here on Amazon. My current print selections include; Vintage Dictionary Art Prints, Gold Foil Prints, Nursery Room Prints, Kids Bedroom Prints, Bathroom Prints, Kitchen Prints, Larger Scale prints and posters, and much more. Enjoy!']",parent_asin: B015LZPNKK,review_title: One Star,verified_purchase: True,rating: 1.0,"product_title: Ohio The Buckeye State Vintage Dictionary Art Print, Antique Wall Art Home Decor, Modern Boho Poster, Farmhouse Decoration Living Room Bedroom Office 8x10 Inches, Ready To Frame",id: 396,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE
6051,text: nice xmas gift for a future lawyer,"description: [""Digibuddha Christmas ornaments are beautiful, high quality gifts that become treasured keepsakes for years to come. Our ornaments make one-of-a-kind gifts to commemorate lifetime firsts and momentous occasions. Celebrate important events with a keepsake ornament this season such as an engagement ornament, first Christmas as newlyweds ornament, baby's first Christmas ornament, first home ornament, first year as a grandmom ornament, or even annual couples ornaments to add to your ornament collection year after year!"", 'ABOUT DIGIBUDDHA ORNAMENTS: Our ornaments are made using fine white porcelain (ceramic) with a flawless glossy glaze finish. Each original handmade ornament is permanently fused so the art becomes part of the ornament, NOT decals or stickers. Ready for gifting with the FREE included gift box!', 'LISTING INCLUDES:  3"" fine white porcelain ornament with flawless glaze finish  Beautiful original design as shown in sample  FREE hanging ribbon included (color shown in sample)  FREE white gift box with custom gift tag, Ready for gift giving!']",parent_asin: B076VVYXY1,review_title: lawyer in training,verified_purchase: True,rating: 5.0,"product_title: DIGIBUDDHA Future Lawyer Christmas Ornament Gift Law School Student College University Law School Graduation Present Rustic Xmas Farmhouse Collectible 3"" Flat Circle Porcelain w/Ribbon & Free Box",id: 28715,POSITIVE,POSITIVE,POSITIVE,POSITIVE
9412,text: I ordered these for my dad to go on a bike he was rebuilding. He really likes them but he did have to use a different adhesive than what was provided. They are a bit more of a burnt red/brown color than what was shown but I think when they sun fade they will look very nice.,description: ['| 100% Leather | 0% Compromise Handcrafted to last |'],parent_asin: B0BTYGY9W6,review_title: Good straps,verified_purchase: True,rating: 5.0,product_title: Trip Machine Company Leather Motorcycle Grips Wrap Black,id: 79263,POSITIVE,POSITIVE,POSITIVE,POSITIVE
9152,text: Love the bright spot of color it adds. The adjustable leather cord make is very versatile,"description: [""Aloha! This jewelry reflects my love for our beautiful islands of Hawaii and brings forth our Hawaii Aloha Spirit. Aloha Prices are available each month. If you can't find what you are looking for, try searching yinahawaii April Birthstone or yinahawaii red or yinahawaii turtle, etc.  Jewelry will be made to order directly from Hawaii. Items that are available for Prime will be fulfilled faster from the mainland warehouse.  I normally make the necklaces with a tarnish resistant silver chain at around 20 inches long with a lobster claw catch. If you prefer a different length, please contact me first, I’d be happy to customize it for you. The earrings will come with standard silver French hooks. Lever Backs, Shepherds' hooks, Stainless Steel, stud or even Clip-ons are also available upon request. Leather Cord designs are handmade with Antique Brown leather cord, which is adjustable ranging about 18-30 inches. Bangle bracelets are standard 70mm in diameters. All chain style bracelets are adjustable in size. This handmade in Hawaii jewelry gift is from cultured sea glass that is specially formed into its shape for jewelry making. Each comes with a gift box with Handmade by yinahawaii stamp, an Aloha card and a white ribbon wrapped as shown in the 2nd photo, ready to give as a gift. Please see the 3rd photo for its actual and relative size.There are matching necklaces, earrings and bracelets in my collections.""]",parent_asin: B06XQRSW6X,review_title: Love it,verified_purchase: True,rating: 5.0,"product_title: Handmade in Hawaii, leather cord puff Blue sea glass necklace, Unisex Jewelry, (Hawaii Gift Wrapped, Customizable Gift Message)",id: 21104,POSITIVE,POSITIVE,POSITIVE,POSITIVE
5459,text: Very poor quality print.  I could’ve done this print myself,description: ['8x10 UNFRAMED Prints'],parent_asin: B0C7LPFZXJ,review_title: Could have printed myself.,verified_purchase: True,rating: 2.0,"product_title: Sea Captain w/Black Cat Wall Art - Weird Creepy Vintage Photo - Nautical Wall Decor - Beach House Decor - Gift for Cat Lover, Ocean Wall Art and Boating Fans, Men, Sailor - 8x10 Poster Picture Print",id: 81428,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE
5418,text: Really cute they are postcard like pictures that will add a little something extra cute to our travel collage board.,description: ['Vintage Rock Wall Collage Kit'],parent_asin: B0BHDJ1B1Q,"review_title: Cute, good quality",verified_purchase: True,rating: 5.0,"product_title: Rock Band Posters, Retro Music Concert Album Photo Wall Aesthetic Pictures, Vintage Room Decor, Band Posters, Vintage Rock Wall Collage Kit",id: 77069,POSITIVE,POSITIVE,POSITIVE,POSITIVE
169,text: Beautiful! Used for my baby’s nursery.,"description: ['► THE WALL MUST BE DRY, LIGHT, SMOOTH, CLEAN, AND FREE OF DUST. IT IS NOT SUITABLE FOR THE TOO MUCH TEXTURED WALLS Floral wall decal, peony bouquet flowers removable peel and stick wall sticker INCLUDES: ► 6 Separate cut out peonies ranging in approximate sizes of 24""/61cm to 15.7""/40cm to 14.9""/38cm ► 14 Separate leaves and leaf clusters ranging in approximate sizes of 12.5""/32cm to 10.2""/26cm to 8.6""/22cm ► Quick installation – Just peel and stick – you can easily re-position if needed. ► Cut from premium self-adhesive decal material specifically designed for home decor ► Matte finish ► Removable►We strongly recommend applying the decals 3 weeks after painting.Peel and stick wall decal material may not stick to textured, newly painted, painted with acrylic paint wall ►Green guard gold certified HP Latex print quality']",parent_asin: B07M7PFZXV,review_title: Beautiful,verified_purchase: True,rating: 5.0,"product_title: Murwall Floral Peonies Wall Decal, Peony Bouquet Flowers Removable Peel and Stick Wall Sticker",id: 44405,POSITIVE,POSITIVE,POSITIVE,POSITIVE
8455,"text: I put this in in late April and all was fine (other than it being almost too thin to be visible), but I just took it out for my summer job and half of the ring was black in color. Don't know how this happened, but the black will not come off and therefore I won't be wearing it again.","description: ['Sterling silver seamless nose hoop. Pick your gauge size and diameter for a perfect and comfortable custom fit. This hoop can be worn in various different piercings and is great for all types of piercings including ears, cartilage, helix and tragus.']",parent_asin: B01B8TAYAM,review_title: ... put this in in late April and all was fine (other than it being almost too thin to be ...,verified_purchase: True,rating: 2.0,product_title: Nose Hoop Ring Cartilage Earring Sterling Silver 24g 22g 21g 20g 18g 6mm 7mm 8mm 9mm 10mm,id: 89316,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE
5151,"text: GAVE AS GIFT TO MY DAUGHTER, SHE LOVED IT AND SO DO I ----- SOMETHING UNIQUE","description: ['This is an upcycled print printed on an old dictionary page. We take old books about to be destroyed and upcycle them in order to give them new life. The aging, slightly-yellowed page is carefully removed, and the image is printed directly on the recycled paper. The result is a unique and absolutely beautiful print suitable for framing. These prints are definite conversation-starters and look just gorgeous while hanging on the wall. The pages are approximately 8.5 x 11 in size, with a very slight variation. No two are exactly the same, but all will fit nicely in an 8.5 x 11 frame. You will not get the exact page shown in the image, but you will get a print from the same book. Every piece is original.  ***Frame is not included****. You will receive just the print. These vintage book prints make awesome, unique gifts and are environmentally responsible. All prints are shipped flat in rigid, stay-flat mailers and are protected in plastic sleeves.']",parent_asin: B018RKZXTW,review_title: SHE LOVED IT AND SO DO I ----- SOMETHING,verified_purchase: True,rating: 5.0,product_title: Pug Art Print Mike the Trike Pug Dog On a Tricycle Original Art Vintage Dictionary Page Book Art Print,id: 5869,POSITIVE,POSITIVE,POSITIVE,POSITIVE
1983,text: I seriously am so in love with my ring! I personalized a ring with my new Dane pup's name and my two cats. It is literally exactly what is shown on the picture. It came two weeks early and fits true to size. I highly recommend this product! I am even trying to figure out other things I can personalize a ring with so that I can purchase more (haha). Thank you for your quality work! :),"description: ['New to our product line are these nice Stainless Steel Stackable Name Rings, they are available in Matte, Shiny, Rose Gold, Gold and Coffee colors Stainless Steel. Each ring is personalized with your choice of wording and/or dates. The rings are made of Stainless Steel that will not fade, tarnish or stain your skin. Rose Gold, Gold and Coffee colors are plated over Stainless Steel. Each ring is 3mm wide, the perfect width for stacking! **LISTING IS FOR 1 RING** ( Picture shows five individual rings which are sold separately) Change Quantity to desired number of rings and add to cart separately ****INSIDE ENGRAVING NOT AVAILABLE FOR THIS RING**** ------------ORDERING INSTRUCTIONS--------------- 1. Select Quantity 2. Select Color3. Select Size 4. Enter personalization (35 characters max.) **Please note: Paint in rings is not permanent and will come out over time, length will vary depending on wear of ring. This can easily be repainted at any time using a paint marker and wiping excess with alcohol. Unfortunately, there is not a way to make it permanent in stainless steel, however the engraving (stamping) will always be there**']",parent_asin: B015YI5I40,review_title: The cutest personalized ring!!,verified_purchase: True,rating: 5.0,"product_title: Personalized Stackable Name Ring - Stacking Rings - Matte, Shiny, Rose Gold, Gold and Coffee Colors - 3mm Width",id: 1544,POSITIVE,POSITIVE,POSITIVE,POSITIVE
7746,text: Beautiful!  So happy to hang it on our tree to celebrate our anniversary,"description: [""Digibuddha Christmas ornaments are beautiful, high quality gifts that become treasured keepsakes for years to come. Our ornaments make one-of-a-kind gifts to commemorate lifetime firsts and momentous occasions. Celebrate important events with a keepsake ornament this season such as an engagement ornament, first Christmas as newlyweds ornament, baby's first Christmas ornament, first home ornament, first year as a grandmom ornament, or even annual couples ornaments to add to your ornament collection year after year!"", 'ABOUT DIGIBUDDHA ORNAMENTS: Our ornaments are made using fine white porcelain (ceramic) with a flawless glossy glaze finish. Each original handmade ornament is permanently fused so the art becomes part of the ornament, NOT decals or stickers. Ready for gifting with the FREE included gift box!', 'LISTING INCLUDES:  3"" fine white porcelain ornament with flawless glaze finish  Beautiful original design as shown in sample  FREE hanging ribbon included (color shown in sample)  FREE white gift box with custom gift tag, Ready for gift giving!']",parent_asin: B07V7HJ49N,review_title: Beautiful,verified_purchase: True,rating: 5.0,product_title: 25th Anniversary Christmas Ornament Twenty-Five Years Married Gift Husband Wife Couple Wedding Memory Keepsake Tree Decoration Present Country Red Berry Wreath Ceramic 3” Flat Circle Gold Ribbon,id: 51827,POSITIVE,POSITIVE,POSITIVE,POSITIVE
5758,"text: On the smaller size, too tight on face that makes hard to talk and pulls on ears. I have a small adult face. These are teenager size not adult.","description: ['5 pack of washable reusable adult cotton cloth face mask in solid color, they are breathable and comfortable, perfect facemask pack for women and man, 3D face mask with nose wire', 'Features:', '• One fit the most  • 5 face masks include: black, white, gray, navy blue, burgundy red  • Made from 2 layer of washable cotton fabric  • Unisex adult face mask, works for both women and man  • With nose wire  • Stylish face coving: 3D cut, looks fashion, cool, professional, and also give more room for breathing freely  • Perfect for home office work outdoor sport   Care Tips:  Wash before use, no bleach, hand wash recommended These are general use face masks, not for medical or clinic use  Our facemask are handmade from high quality cotton, our goal is provide best product and customer service. Feel free to email me if you have any concern, hoping all our customer have a healthy and safe life every day.']",parent_asin: B08KPTC83P,review_title: Small on size,verified_purchase: True,rating: 2.0,"product_title: Solid Color Face Masks with Nose Wire for Adult Unisex, Pack of 5: Black Gray White Navy Blue Burgundy Red, Washable Reusable",id: 61951,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE
14148,text: Bold and fits really well on cup,"description: ['Split Letter Decal with custom name in middle in font shown in picture to fit a YETI RAMBLER 20 or 30oz or any other coffee mug or stainless steel tumbler such as Ozark, RTIC, or Boss! 5-7 year high quality indoor/outdoor vinyl Precision die-cut decal with no background, not a cheap sticker No ink, will not fade or run. Waterproof, self-adhesive, and removable Can be applied to any smooth surface. Clear application tape is used for easy and accurate placement. All decals are shipped masked and ready for application. *Cup not included*']",parent_asin: B01M1AV39X,review_title: Five Stars,verified_purchase: True,rating: 5.0,product_title: Split Initial Monogram Name Decal for 20oz 30oz 40oz Yeti RTIC Ozark Trail Bubba Tumbler Growler Swell Bottle,id: 98052,POSITIVE,POSITIVE,POSITIVE,POSITIVE
8689,"text: Love the flowers, I get tons of compliments on them. So easy to install, am ordering more to turn the entire wall into a peony flower mural","description: ['► THE WALL MUST BE DRY, LIGHT, SMOOTH, CLEAN, AND FREE OF DUST. IT IS NOT SUITABLE FOR THE TOO MUCH TEXTURED WALLS Floral wall decal, peony bouquet flowers removable peel and stick wall sticker INCLUDES: ► 6 Separate cut out peonies ranging in approximate sizes of 24""/61cm to 15.7""/40cm to 14.9""/38cm ► 14 Separate leaves and leaf clusters ranging in approximate sizes of 12.5""/32cm to 10.2""/26cm to 8.6""/22cm ► Quick installation – Just peel and stick – you can easily re-position if needed. ► Cut from premium self-adhesive decal material specifically designed for home decor ► Matte finish ► Removable►We strongly recommend applying the decals 3 weeks after painting.Peel and stick wall decal material may not stick to textured, newly painted, painted with acrylic paint wall ►Green guard gold certified HP Latex print quality']",parent_asin: B07M7PFZXV,review_title: Perfect,verified_purchase: True,rating: 5.0,"product_title: Murwall Floral Peonies Wall Decal, Peony Bouquet Flowers Removable Peel and Stick Wall Sticker",id: 44409,POSITIVE,POSITIVE,POSITIVE,POSITIVE
4410,text: My grandson loved this!,"description: ['This is an upcycled print printed on an old dictionary page. We take old books about to be destroyed and upcycle them in order to give them new life. The aging, slightly-yellowed page is carefully removed, and the image is printed directly on the recycled paper. The result is a unique and absolutely beautiful print suitable for framing. These prints are definite conversation-starters and look just gorgeous while hanging on the wall. The pages are approximately 8.5 x 11 in size, with a very slight variation. No two are exactly the same, but all will fit nicely in an 8.5 x 11 frame. You will not get the exact dictionary page shown in the image, but you will get a print from the same book. Every piece is original. ***Frame is not included****. You will receive just the print. These vintage book prints make awesome, unique gifts and are environmentally responsible. All prints are shipped flat in rigid, stay-flat mailers and are protected in plastic sleeves.']",parent_asin: B01M6YP6NN,review_title: Five Stars,verified_purchase: True,rating: 5.0,"product_title: Captain Grumble the Sea Pug Riding His Narwhal Steed, Noodles Art Print Beautifully Upcycled Dictionary Page book Art Print Pug On a Narwhal",id: 16310,POSITIVE,POSITIVE,POSITIVE,POSITIVE
3014,text: Absolutely beautiful! I bought two different designs and i cant wait to give these as christmas gifts!!!,"description: ['HIGH-QUALITY PERMANENT VINYL - We use the highest quality outdoor vinyl to create the decal of your choice. Decal will last up to 3-5 years if tumbler is hand-washed.', 'HIGH-QUALITY PERMANENT VINYL - We use the highest quality outdoor vinyl to create the decal of your choice. Decal will last up to 3-5 years if tumbler is hand-washed.', 'PURE AND HEALTHY STAINLESS STEEL - Made of 100% food grade premium 18/8 304 stainless steel, so our tumblers are BPA free with zero toxins. Make the healthy choice and go with stainless steel.', 'PURE AND HEALTHY STAINLESS STEEL - Made of 100% food grade premium 18/8 304 stainless steel, so our tumblers are BPA free with zero toxins. Make the healthy choice and go with stainless steel.', ""SHATTERPROOF AND DURABLE - These 20 oz tumblers won't break, so they are safe to use by the pool, on a picnic, or anywhere else outdoors. Includes lid and straw to prevent spills."", ""SHATTERPROOF AND DURABLE - These 20 oz tumblers won't break, so they are safe to use by the pool, on a picnic, or anywhere else outdoors. Includes lid and straw to prevent spills."", ""KEEPS YOUR DRINK COLD - Double-walled, vacuum insulated design provides an airtight seal which keeps your drink at the ideal temperature. When filled with chilled drinks, you won't get condensation or sweating on the outer wall of your tumbler."", ""KEEPS YOUR DRINK COLD - Double-walled, vacuum insulated design provides an airtight seal which keeps your drink at the ideal temperature. When filled with chilled drinks, you won't get condensation or sweating on the outer wall of your tumbler."", 'HAND WASH ONLY! Instructions for Ordering:Click on “Select Options” on the right side of the screen Click on the drop down menu “Select Monogram or Font” and choose the monogram or font you want. See photos for options. Click on the drop down menu “Enter Text” and enter the name or initials that you would like on your cup. When selecting a monogram, please pay careful attention to whether it requires a name or initials. Click on the drop down menu “Cup Color” and select the color of the cup you want. See photos for options. Click on the drop down menu “Select Text Color” and choose the color of the text. See photos for options.', 'HAND WASH ONLY!', 'Instructions for Ordering:', 'Click on “Select Options” on the right side of the screen', 'Click on “Select Options” on the right side of the screen', 'Click on the drop down menu “Select Monogram or Font” and choose the monogram or font you want. See photos for options.', 'Click on the drop down menu “Select Monogram or Font” and choose the monogram or font you want. See photos for options.', 'Click on the drop down menu “Enter Text” and enter the name or initials that you would like on your cup. When selecting a monogram, please pay careful attention to whether it requires a name or initials.', 'Click on the drop down menu “Enter Text” and enter the name or initials that you would like on your cup. When selecting a monogram, please pay careful attention to whether it requires a name or initials.', 'Click on the drop down menu “Cup Color” and select the color of the cup you want. See photos for options.', 'Click on the drop down menu “Cup Color” and select the color of the cup you want. See photos for options.', 'Click on the drop down menu “Select Text Color” and choose the color of the text. See photos for options.', 'Click on the drop down menu “Select Text Color” and choose the color of the text. See photos for options.']",parent_asin: B07CXZ2GMW,review_title: Turned out absolutely perfect!!!,verified_purchase: True,rating: 5.0,"product_title: Personalized 20 oz Stainless Steel Skinny Tumbler with Custom Monogram Vinyl Decal by Avito - Includes Straw and Lid - Bridesmaid, Bachelorette, Bridal Party Gifts",id: 36058,POSITIVE,POSITIVE,POSITIVE,POSITIVE
